요일구분,호선,역번호,출발역,상하구분,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
일요일,3,310,구파발,하선,1.9,10.5,6.6,10.6,12.3,19.2,22.2,25.6,25.4,27.6,28.3,28.8,19.0,30.6,20.7,24.0,19.2,26.0,19.8,26.6,18.8,25.4,19.1,23.0,15.4,17.3,14.9,10.7,12.9,9.5,10.5,10.6,9.7,8.1,5.6,5.8,2.8,0.0,
일요일,3,311,연신내,하선,5.3,11.3,9.2,9.5,14.4,19.6,24.9,24.1,28.9,29.9,32.4,30.9,23.5,25.3,26.6,22.8,25.7,20.6,24.6,20.6,23.3,19.2,23.6,18.2,18.7,15.3,12.3,13.4,10.3,11.8,7.6,10.2,9.1,6.9,6.4,6.1,5.3,0.0,
일요일,3,312,불광,하선,8.2,13.4,10.6,11.5,18.2,21.5,28.6,29.9,33.2,34.6,37.1,36.4,26.9,30.0,33.0,25.0,29.7,24.5,27.8,24.5,26.5,23.9,26.8,21.6,21.5,17.9,14.6,16.0,12.1,12.8,8.5,11.6,10.3,8.2,7.3,6.6,6.0,0.0,
일요일,3,313,녹번,하선,10.2,14.7,11.7,13.3,20.5,24.3,31.0,33.8,36.0,37.8,37.1,42.6,29.5,32.8,35.2,27.2,32.0,26.4,29.5,26.4,27.5,25.5,27.7,22.0,21.7,18.5,14.7,15.8,12.0,12.9,8.5,11.5,9.8,8.3,6.8,6.3,5.4,0.0,
일요일,3,314,홍제,하선,12.6,15.6,11.8,15.4,20.7,28.6,30.0,37.8,39.9,39.9,39.5,47.9,32.9,38.9,36.1,30.5,32.6,32.4,29.7,30.8,26.3,29.5,27.3,26.7,20.1,20.6,16.7,15.3,14.1,13.1,9.9,10.2,10.3,9.1,6.3,6.2,4.6,0.0,
일요일,3,315,무악재,하선,13.1,15.9,12.1,15.7,21.3,29.4,30.7,38.8,40.7,41.2,40.4,49.1,33.6,39.6,35.8,33.0,33.3,33.0,30.1,31.1,26.9,29.9,27.7,26.8,20.1,20.6,16.6,15.2,14.1,13.1,10.0,10.3,8.5,10.5,6.3,6.2,4.5,0.0,
일요일,3,316,독립문,하선,10.6,15.9,13.2,14.8,19.4,29.6,30.8,38.9,40.3,41.5,44.1,45.9,34.8,42.0,37.5,34.7,34.8,34.2,31.8,32.9,28.7,31.3,29.0,27.9,21.4,21.2,16.9,15.3,14.4,13.3,10.1,10.1,9.2,10.6,6.4,6.1,4.3,0.0,
일요일,3,317,경복궁,하선,12.4,13.6,13.8,13.7,19.8,26.4,30.0,37.6,42.8,39.1,45.3,45.0,41.7,39.9,46.1,37.9,40.9,39.3,43.1,38.4,40.7,36.3,40.9,35.2,34.8,27.0,24.4,23.6,17.2,19.9,15.5,16.2,14.9,14.1,8.4,8.1,5.3,0.0,
일요일,3,318,안국,하선,12.5,13.4,13.4,13.4,19.2,25.9,29.2,37.2,41.4,38.8,43.8,44.5,41.2,42.2,47.1,40.6,43.8,44.1,48.7,46.3,47.9,44.0,49.1,44.4,44.5,36.5,32.7,31.0,22.5,25.4,20.1,20.0,17.6,16.8,11.7,8.7,5.5,0.0,
일요일,3,319,종로3가,하선,11.2,10.6,9.3,11.4,13.4,20.2,22.8,29.2,31.1,30.7,32.3,36.0,31.5,32.6,36.7,32.8,33.6,35.7,38.6,37.8,37.6,36.5,41.2,36.7,34.8,32.6,27.4,25.3,21.1,20.7,18.3,18.4,16.5,14.2,10.7,7.8,4.8,0.0,
일요일,3,320,을지로3가,하선,10.1,9.4,7.9,10.2,11.7,18.4,18.9,23.9,26.9,28.5,27.4,31.1,27.0,27.8,30.7,30.9,29.1,32.9,32.4,35.0,33.9,30.9,42.2,35.7,32.9,31.5,26.6,23.6,21.2,19.3,19.6,17.3,16.9,15.3,12.5,9.0,5.6,0.0,
일요일,3,321,충무로,하선,11.0,11.9,8.8,10.3,12.4,21.1,20.0,25.2,27.9,30.8,28.2,30.7,30.7,29.0,31.4,31.7,31.3,34.9,32.3,35.4,34.5,33.0,43.0,37.7,32.3,31.2,26.2,23.7,21.4,20.2,19.1,17.4,16.2,16.1,12.2,8.9,6.0,0.0,
일요일,3,322,동대입구,하선,10.8,10.9,8.0,9.0,11.1,18.5,16.8,22.9,25.3,27.8,25.9,29.2,28.6,26.6,29.0,29.6,29.5,33.3,30.6,33.4,32.1,31.2,40.8,37.2,32.7,31.9,26.8,26.2,25.5,23.4,20.6,18.3,16.6,16.9,13.2,9.2,7.0,0.0,
일요일,3,323,약수,하선,16.5,14.0,10.6,10.0,12.2,19.4,20.4,26.8,29.2,31.2,29.2,32.0,33.9,27.8,33.0,32.5,31.8,36.6,32.6,36.8,34.8,33.9,46.0,39.3,36.0,33.7,29.6,29.8,30.7,25.6,21.9,20.3,18.3,17.1,13.7,9.9,9.0,0.0,
일요일,3,324,금호,하선,17.3,14.1,10.8,10.3,12.7,17.7,22.8,28.5,29.0,29.9,28.9,32.6,34.1,26.9,33.5,32.6,31.9,35.5,34.5,37.0,34.8,37.4,39.3,37.3,37.3,33.5,29.2,29.0,30.0,24.9,21.0,19.8,17.7,16.7,13.3,9.3,8.6,0.0,
일요일,3,325,옥수,하선,18.8,13.9,13.0,11.4,13.4,19.5,25.0,31.3,32.4,32.6,32.5,36.0,37.6,29.1,36.6,35.3,35.0,37.6,36.8,39.2,36.6,39.3,41.4,38.8,39.4,34.5,30.2,29.8,30.5,25.5,21.1,20.3,18.5,17.0,13.5,9.6,8.6,0.0,
일요일,3,326,압구정,하선,6.7,15.2,11.9,9.8,11.3,16.3,21.6,27.2,26.8,28.7,28.6,32.1,33.6,27.8,36.0,33.3,34.1,37.3,37.2,39.3,36.3,40.8,41.5,40.7,39.8,38.6,32.2,30.2,31.8,26.0,27.5,22.2,20.5,19.9,15.1,9.9,8.1,0.0,
